Category,Preprocessing technique,Description,Status
Encode,"preprocessing.Binarizer(*[, threshold, copy])",Binarize data (set feature values to 0 or 1) according to a threshold.,Completed
?,"preprocessing.FunctionTransformer([func, ...])",Constructs a transformer from an arbitrary callable.,Completed
Encode,"preprocessing.KBinsDiscretizer([n_bins, ...])",Bin continuous data into intervals.,Completed
Encode,preprocessing.KernelCenterer(),Center an arbitrary kernel matrix K.,Completed
Encode,"preprocessing.LabelBinarizer(*[, neg_label, ...])",Binarize labels in a one-vs-all fashion.,Completed
Encode,preprocessing.LabelEncoder(),Encode target labels with value between 0 and n_classes-1.,Completed
Encode,"preprocessing.MultiLabelBinarizer(*[, ...])",Transform between iterable of iterables and a multilabel format.,Completed
Scale,"preprocessing.MaxAbsScaler(*[, copy])",Scale each feature by its maximum absolute value.,Completed
Scale,"preprocessing.MinMaxScaler([feature_range, ...])",Transform features by scaling each feature to a given range.,Completed
Normalize,"preprocessing.Normalizer([norm, copy])",Normalize samples individually to unit norm.,Completed
Encode,"preprocessing.OneHotEncoder(*[, categories, ...])",Encode categorical features as a one-hot numeric array.,Completed
Encode,"preprocessing.OrdinalEncoder(*[, ...])",Encode categorical features as an integer array.,Completed
?,"preprocessing.PolynomialFeatures([degree, ...])",Generate polynomial and interaction features.,Completed
?,"preprocessing.PowerTransformer([method, ...])",Apply a power transform featurewise to make data more Gaussian-like.,Completed
?,"preprocessing.QuantileTransformer(*[, ...])",Transform features using quantiles information.,Completed
Scale,"preprocessing.RobustScaler(*[, ...])",Scale features using statistics that are robust to outliers.,Completed
?,"preprocessing.SplineTransformer([n_knots, ...])",Generate univariate B-spline bases for features.,Completed
Scale,"preprocessing.StandardScaler(*[, copy, ...])",Standardize features by removing the mean and scaling to unit variance.,Completed
?,"preprocessing.add_dummy_feature(X[, value])",Augment dataset with an additional dummy feature.,Completed
Encode,"preprocessing.binarize(X, *[, threshold, copy])",Boolean thresholding of array-like or scipy.sparse matrix.,Completed
Encode,"preprocessing.label_binarize(y, *, classes)",Binarize labels in a one-vs-all fashion.,Completed
Scale,"preprocessing.maxabs_scale(X, *[, axis, copy])","Scale each feature to the [-1, 1] range without breaking the sparsity.",Completed
Scale,"preprocessing.minmax_scale(X[, ...])",Transform features by scaling each feature to a given range.,Completed
Normalize,"preprocessing.normalize(X[, norm, axis, ...])",Scale input vectors individually to unit norm (vector length).,Completed
?,"preprocessing.quantile_transform(X, *[, ...])",Transform features using quantiles information.,Completed
Scale,"preprocessing.robust_scale(X, *[, axis, ...])",Standardize a dataset along any axis.,Completed
Scale,"preprocessing.scale(X, *[, axis, with_mean, ...])",Standardize a dataset along any axis.,Completed
?,"preprocessing.power_transform(X[, method, ...])","Parametric,  monotonic transformation to make data more Gaussian-like.",Completed
