target_ds,candidate_ds,attr_pairs
data_mill_a.csv,data_mill_a.csv,1
data_mill_a.csv,data_mill_b.csv,1
data_mill_a.csv,data_mill_0.csv,1
data_mill_a.csv,data_mill_1.csv,1
data_mill_a.csv,data_mill_2.csv,1
data_mill_a.csv,data_mill_3.csv,1
data_mill_a.csv,data_mill_4.csv,1
data_mill_a.csv,data_mill_5.csv,1
data_mill_a.csv,data_mill_6.csv,1
data_mill_a.csv,data_mill_7.csv,1
data_mill_a.csv,data_mill_8.csv,1
data_mill_a.csv,data_mill_9.csv,1
data_mill_a.csv,data_mill_10.csv,1
data_mill_a.csv,data_mill_11.csv,1
data_mill_b.csv,data_mill_a.csv,1
data_mill_b.csv,data_mill_b.csv,1
data_mill_b.csv,data_mill_0.csv,1
data_mill_b.csv,data_mill_1.csv,1
data_mill_b.csv,data_mill_2.csv,1
data_mill_b.csv,data_mill_3.csv,1
data_mill_b.csv,data_mill_4.csv,1
data_mill_b.csv,data_mill_5.csv,1
data_mill_b.csv,data_mill_6.csv,1
data_mill_b.csv,data_mill_7.csv,1
data_mill_b.csv,data_mill_8.csv,1
data_mill_b.csv,data_mill_9.csv,1
data_mill_b.csv,data_mill_10.csv,1
data_mill_b.csv,data_mill_11.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_a.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_b.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_0.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_1.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_2.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_3.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_4.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_5.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_6.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_7.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_8.csv,1
cihr_co-applicant_a.csv,cihr_co-applicant_9.csv,1
cihr_co-applicant_b.csv,cihr_co-applicant_a.csv,1
cihr_co-applicant_b.csv,cihr_co-applicant_b.csv,1
cihr_co-applicant_b.csv,cihr_co-applicant_0.csv,1
cihr_co-applicant_b.csv,cihr_co-applicant_1.csv,1
cihr_co-applicant_b.csv,cihr_co-applicant_2.csv,1
